,mapped_feature_0,mapped_feature_1,mapped_feature_2,mapped_feature_3,mapped_feature_4,mapped_feature_5,mapped_feature_6,mapped_feature_7,mapped_feature_8,mapped_feature_9,mapped_feature_10,mapped_feature_11,mapped_feature_12,mapped_feature_13,mapped_feature_14,mapped_feature_15,mapped_feature_16,mapped_feature_17,mapped_feature_18,mapped_feature_19,mapped_feature_20,mapped_feature_21,mapped_feature_22,mapped_feature_23,mapped_feature_24,mapped_feature_25,mapped_feature_26,mapped_feature_27,mapped_feature_28,mapped_feature_29,mapped_feature_30,mapped_feature_31,mapped_feature_32,mapped_feature_33,mapped_feature_34,mapped_feature_35,mapped_feature_36,mapped_feature_37,mapped_feature_38,mapped_feature_39,mapped_feature_40,mapped_feature_41,mapped_feature_42,mapped_feature_43,mapped_feature_44,mapped_feature_45,mapped_feature_46,mapped_feature_47,mapped_feature_48,mapped_feature_49
sample_0,95.48604779932897,41.778131074999635,2.461775241222275,4.60247619601919,30.588446873402862,63.708221588412194,18.361670062638712,89.04319660248858,93.34725248919582,95.73442017474474,7.231087270336046,19.661306045340744,55.8714310611408,63.02475208614532,77.1745243744979,51.78367021076091,60.45086562524426,36.47392991393373,1.145437667583249,12.719314448735963,6.350083247887762,31.27871278502502,30.22390846725338,55.8671579160749,5.718855422891922,18.897687213875734,92.04913037320178,95.21193816778015,71.45166453867915,25.583263390241473,71.58248631559009,54.56143438767207,61.46567684025076,1.7838707191748293,70.34935782729302,87.27316928778468,54.51407469295507,4.496799472594737,84.61888949378708,84.6674212182749,40.151434509767135,70.94053524776899,26.517304006691568,78.40126881571808,56.66925510090456,85.61203832060518,32.46442406404677,70.207484903917,41.952713860996504,12.434701665495872
sample_1,65.67674005272242,3.901069668257151,79.77082638965707,8.743341638498814,95.11181200796594,85.75364949994312,99.97822811707174,60.00920206919162,21.37341475753429,91.14525697532275,69.6675540287594,13.365786839552108,34.281116710746296,5.971273324602588,94.40714023414108,56.35162141483486,92.03471011871261,33.59520538236785,47.96085289293812,74.86544760210528,66.61714274282646,72.79955710128249,38.39554764460979,91.80088221240655,60.282005354530696,58.93176060798575,55.58048431878644,11.546992441848714,30.0271339377298,92.8102607502769,18.710694012439856,30.2048613888361,59.37115241217554,92.92718243667754,84.95407826346009,81.79012436905573,48.58013161944561,62.69584783558392,72.3872033697361,6.613972477955965,96.25614428437636,86.43917766652962,80.63849365999401,93.25173414410295,59.30481095649039,16.052578392562832,47.61086971479892,66.44743526843033,18.532119022604764,81.01975163037982
sample_2,87.57296578599808,42.7173803386727,62.86773153914258,96.28086715106197,42.98629197821783,40.62804843868122,70.28238426895386,28.9798926226543,93.89138176814718,89.60674068582787,42.693483322862456,6.716911195378373,95.12628968781989,73.08673184444284,42.384894888946725,20.34905441628202,89.65786050568245,86.09644311537707,26.805287475129425,68.48420156889536,33.94405923805501,9.681969818084735,96.82922127735233,38.81822504933107,22.68805810561847,36.15774986172667,35.57735905999826,22.53222508260828,8.002730017769089,52.21478715473741,56.31038610311807,17.985655077936478,54.75981076857279,45.25304156070129,37.057759570090646,87.7049980667995,40.678174932827396,48.9414174332935,51.596469377779975,12.868648372328117,88.92420683603316,86.17417189256325,17.691916571878185,63.11843234744848,5.313416650228142,55.087041410708835,43.431840578564575,13.243165456878126,94.3721173534244,2.476772766154578
sample_3,82.10731348214459,30.55873566260905,17.660811658064034,65.04384489137887,84.56215303914445,76.04123481808675,24.915358896504124,71.86429507724976,6.381813081521015,78.93643892159088,35.39866598416786,31.718242516575156,78.78659033057407,83.75200140422231,91.87671764382725,88.506879875666,66.97197835305687,40.85038800191576,83.8310940013197,60.276014454098004,33.45501005048318,63.79606793329331,48.2262184881305,20.042157858133802,58.15221685623876,26.032590135236045,19.565123938866158,45.33981667709948,2.6101873936423825,49.55825373641844,71.57660054065718,62.07121994951169,63.6259842376002,19.879722348071294,53.732444668740406,13.119007501854075,49.52584822417284,54.9666626267055,20.123176616610028,48.75786333805653,80.66777425320406,93.05009574686282,68.70485002378275,11.870602526250096,53.26022556426611,87.68300536163109,83.77354360345353,96.34879999241214,30.17306944962147,12.450895182938293
sample_4,35.454510585615175,90.02236084404073,62.68963787955813,68.59542775045125,81.37455783052216,76.91799360240103,0.5835480486034106,68.26352994914177,62.79214240092992,77.77936505861808,60.94113408348056,67.26064311287493,60.07874671158603,10.441062251930312,26.71186015731186,86.82937946027118,58.32696377962415,29.389957400517076,37.26533251978401,47.0152126231401,97.8147825318689,28.56963481879564,50.54310105597269,66.54764265722193,24.214002050474935,4.304748287261406,89.84233880835146,4.320894333453484,66.86374253515629,0.6615952677615611,68.19176572039287,11.878657200465225,94.46130356534816,56.72496423025043,68.50295716510146,60.38742553802614,8.274872828010437,19.09044606000646,31.132486755620448,61.499182849876746,33.60925586985901,93.78805796487634,22.381191777104124,12.671640977069188,11.295115493428199,99.64181377023206,35.7611665773583,57.00497831455999,36.177991524587725,86.81297740180536
sample_5,88.51430796058757,63.79622457408017,77.75799598157042,67.64652105717384,98.79774697436976,89.6820744806019,49.52507116414975,13.69614416761915,97.28445165184209,45.8148926160258,60.443578229694864,1.0160363288817087,88.58947718016141,29.395672166435883,44.307269282214264,16.290105634606387,98.83101334037086,28.071921900874074,2.8105423542184704,33.70956448788516,32.00395468713656,9.488264505912824,63.675255866067005,64.27789724313844,16.79473411247364,46.2057463409995,84.00242912631839,44.77037666259736,2.578945662672838,44.540602019458895,84.37649242619067,47.76615853475504,63.739733623077356,75.3885496395818,18.881499172853133,72.91327369600113,71.01899697902911,1.09535985358995,45.948942889536816,3.143060428355693,20.217018105599514,82.41062251043823,36.96170123879497,89.92793927627292,60.64197626703006,47.910716019358226,59.56635136011419,34.50638610849958,62.975584824629514,5.640543305745971
sample_6,70.15542608165326,2.1344189713584094,39.3950493908857,60.58674116471278,17.915564568970122,92.25204944530435,72.36173518898546,40.34591192119472,71.70684176042921,53.47128112131612,44.83445958227009,37.744815055935256,67.21391990990504,19.296121061356498,25.901575518929587,1.8873516632460174,89.93186410733891,54.416286094173536,61.48141532600198,22.065355152858768,40.00329395553105,35.79407779225995,5.133167975631281,40.958445964340285,60.55196276668138,44.93102023911681,10.33453145442319,63.53888646551008,93.1348873660238,38.28656296327174,99.73365296600416,89.21530702119117,14.930408716966259,24.851008636031956,54.03085127314857,97.47466184082072,26.88579916191014,72.68113261093283,51.69316553103451,16.702302973193504,65.78160760605087,44.946333534340475,18.317186079222804,65.81992541513489,52.34366712403956,63.55757302341259,58.222190252119056,68.26712128306822,69.41265762826103,60.19219875434557
sample_7,45.39078574868874,92.1069429844307,8.108525151004741,64.03942167851659,32.316178173919674,80.4903361588505,96.30557707509759,19.22110942346469,2.8171072973615985,67.43103115899171,26.1837371664122,6.968337831070914,98.96222084937932,50.212826710266064,42.10020162296016,63.20636339616398,64.06316221087677,14.543987043794537,4.174736921330558,38.13131041339738,11.616969142626111,59.65134186218483,53.301631695278004,69.02772102191834,22.708147819836878,9.85253986900496,1.897658770208488,36.96357143691037,45.39952897876227,30.522461595221994,9.08519567500502,53.3437119641304,76.99638958377992,50.2818359213632,83.80428513434362,35.19363777631687,61.50171932199265,74.80837780553833,19.616833486747097,7.936825676273318,18.621286425100525,28.368624491759707,96.19389935398863,52.82374351096711,89.8215317539349,37.307379191564095,14.427435690946167,48.17424851376602,84.07959735738083,83.90078479745279
sample_8,94.86344275971621,83.88831119941725,99.50723849377361,27.17730028189804,2.0128105699589227,69.10574440555287,50.478718659104196,85.7133707900131,5.073726659169608,87.2574548390749,23.186594406197823,94.16386595592046,75.47904248939534,2.7153065320701164,81.43304006885704,2.8329319267005326,49.2410431671518,90.83668307248026,66.16555112202646,14.112398150925854,57.53587120280863,13.958369548787253,36.63856962433314,6.577269996362601,73.82462662474897,75.84381883647416,38.0547745433925,47.00007737316704,30.33677533874769,86.69201097729244,30.619347366622442,39.858880700955424,13.790991369622574,31.0616045592101,13.964204354996335,27.085529455080525,74.3468619451211,82.27493538003715,18.05905433560303,3.3264782495361245,24.734901030381383,66.47647175011868,68.82388647846582,85.93607581486796,66.95099825845378,78.78281385776836,16.02283029398288,48.765343444992425,3.2054553753265935,84.64782805318566
sample_9,25.89598921694548,47.8356346364197,31.442230229630542,35.58589287387035,69.03472691230039,2.8427670633695223,80.27708202842734,97.63476839577004,72.11194198055834,2.351243503163114,81.17762353048256,5.742793695775217,73.41061752095756,45.950662025531074,85.66344139163404,68.42345853161481,38.01903834862578,10.620423465911323,75.56284914663695,51.11279962150211,93.7130250083496,51.34401897264909,23.350249117149968,68.8660197614461,40.08427571965948,22.617247062402313,89.96583562872542,99.83483983279318,99.52485962817774,96.4176658321017,44.21576513973415,40.08650639137339,15.488134021151822,13.676744302207899,10.300247663004248,30.974452704394075,8.03715775626852,60.80755079193004,11.748306101746241,89.01017704903825,12.875136321002378,56.77770237502593,76.700958716333,99.34759497732553,58.25183895493565,77.66265418848192,53.36875295499283,85.3899435707358,81.55451948209716,93.96826466989798
