,unmapped_feature_0,unmapped_feature_1,unmapped_feature_2,unmapped_feature_3,unmapped_feature_4,unmapped_feature_5,unmapped_feature_6,unmapped_feature_7,unmapped_feature_8,unmapped_feature_9,unmapped_feature_10,unmapped_feature_11,unmapped_feature_12,unmapped_feature_13,unmapped_feature_14,unmapped_feature_15,unmapped_feature_16,unmapped_feature_17,unmapped_feature_18,unmapped_feature_19,unmapped_feature_20,unmapped_feature_21,unmapped_feature_22,unmapped_feature_23,unmapped_feature_24,unmapped_feature_25,unmapped_feature_26,unmapped_feature_27,unmapped_feature_28,unmapped_feature_29,unmapped_feature_30,unmapped_feature_31,unmapped_feature_32,unmapped_feature_33,unmapped_feature_34,unmapped_feature_35,unmapped_feature_36,unmapped_feature_37,unmapped_feature_38,unmapped_feature_39,unmapped_feature_40,unmapped_feature_41,unmapped_feature_42,unmapped_feature_43,unmapped_feature_44,unmapped_feature_45,unmapped_feature_46,unmapped_feature_47,unmapped_feature_48,unmapped_feature_49
sample_0,2,1,1,1,0,0,0,0,1,1,1,1,0,0,0,2,0,0,1,0,2,2,0,0,1,2,0,0,1,0,2,1,1,1,2,2,0,2,2,2,2,0,2,0,2,0,2,0,0,2
sample_1,1,1,2,0,1,0,2,1,1,2,0,0,0,2,0,2,0,0,0,1,0,0,0,1,2,1,0,2,0,1,1,1,1,1,1,2,2,0,2,2,2,2,0,1,2,2,0,1,1,1
sample_2,2,2,2,0,1,2,0,1,2,1,2,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,1,2,1,1,1,2,2,2,1,0,2,2,1,1,0,0,0,2,2,2,2,0,1
sample_3,2,1,0,0,2,0,2,0,1,0,1,0,1,0,2,2,0,0,0,2,2,0,1,1,0,0,0,2,2,0,0,0,2,1,1,0,1,2,1,2,1,0,0,0,2,1,2,0,2,2
sample_4,2,0,2,2,2,2,0,0,1,0,1,1,2,2,0,0,1,1,1,1,0,1,0,2,1,0,0,0,1,2,2,1,1,1,0,0,2,1,0,0,0,2,0,1,0,1,1,2,0,2
sample_5,1,1,1,0,0,0,1,1,2,0,1,0,2,0,1,1,0,2,0,1,1,2,0,1,2,2,2,2,2,2,0,0,0,2,0,1,1,1,2,2,1,1,2,2,2,0,1,2,2,0
sample_6,2,0,1,0,1,0,0,0,1,1,1,2,0,1,2,2,0,1,1,1,1,2,0,2,1,2,2,0,1,2,2,2,0,0,2,1,0,0,2,1,2,2,1,2,2,1,0,1,0,2
sample_7,2,0,0,0,2,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,2,0,0,0,2,2,1,2,1,0,1,2,2,1,2,2,0,2,2,1,1,1,2,2,0,2,1,1,0,2
sample_8,1,0,2,2,0,1,0,0,1,0,2,2,0,2,0,1,0,1,0,0,2,0,2,2,2,1,0,2,2,1,1,1,2,0,1,0,0,1,2,2,2,0,0,1,2,1,2,0,2,2
sample_9,0,0,0,1,0,1,1,2,2,1,1,2,2,0,0,1,0,1,2,2,0,2,0,1,2,1,1,1,1,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,0,0,1,1,2,1
sample_10,1,1,2,2,0,1,0,0,2,2,0,1,1,1,0,2,1,0,0,0,0,1,0,1,1,1,0,0,2,1,1,0,0,2,2,1,2,2,2,0,0,2,0,2,1,1,2,1,1,1
sample_11,0,2,2,0,0,1,2,0,1,2,2,2,0,1,2,1,1,0,0,2,0,0,1,1,1,0,0,0,2,0,2,0,1,0,1,1,1,2,2,1,1,0,1,2,2,1,1,1,2,1
sample_12,0,2,0,2,2,0,1,1,2,1,0,2,0,0,1,2,0,2,2,1,0,2,2,0,0,2,1,1,1,1,2,1,1,2,0,1,0,1,0,2,2,0,0,2,1,0,1,2,1,2
sample_13,0,1,2,1,0,1,1,2,0,1,1,1,2,1,1,0,1,0,0,0,0,1,2,0,0,1,0,0,1,1,0,2,1,1,1,1,1,1,0,1,1,1,0,2,2,0,0,2,0,2
sample_14,2,1,0,0,0,2,1,1,1,0,1,1,2,2,1,2,2,2,0,2,0,0,0,1,0,0,2,1,2,2,1,2,1,0,1,0,0,0,2,1,2,1,0,1,2,1,1,2,0,1
sample_15,0,2,0,1,2,0,0,1,2,0,1,0,0,1,1,0,2,1,0,0,2,2,0,2,0,2,0,0,2,1,0,1,1,1,1,0,0,1,0,1,0,1,1,2,0,2,0,1,0,1
sample_16,1,1,2,1,1,0,1,0,2,2,1,1,0,1,2,0,1,1,2,0,2,2,1,1,2,0,1,0,0,2,0,0,0,0,0,1,2,1,0,1,2,2,2,2,1,2,2,1,2,0
sample_17,0,1,1,1,0,2,0,2,0,0,2,0,0,1,0,1,1,2,2,0,2,0,2,2,2,1,1,0,1,0,0,1,1,1,1,2,2,0,0,1,2,1,0,1,1,0,1,1,2,2
sample_18,0,0,1,0,0,0,2,2,1,0,1,2,1,1,1,1,1,2,0,2,0,0,2,2,0,1,0,2,2,0,1,0,0,1,0,2,2,2,0,0,1,0,2,0,2,1,0,1,2,0
sample_19,2,1,1,2,2,2,2,0,1,1,0,0,2,1,1,0,0,0,2,0,1,0,1,0,2,0,2,0,1,0,2,0,1,0,0,2,2,0,0,2,0,1,2,0,1,1,0,2,2,2
sample_20,1,2,1,1,0,2,2,0,2,0,1,2,2,1,2,2,1,2,2,2,2,2,0,0,0,2,0,0,2,1,0,0,2,0,2,1,0,2,2,1,1,2,2,1,1,0,0,2,0,1
sample_21,0,0,1,2,0,1,2,0,2,2,2,2,2,0,1,0,2,2,2,1,2,2,2,2,1,0,0,1,2,0,2,0,2,1,1,2,0,0,1,1,2,1,0,0,2,1,2,1,0,0
sample_22,2,1,2,0,1,0,2,0,1,0,2,1,0,2,0,1,0,0,2,2,2,2,1,1,0,1,2,0,2,0,0,2,0,0,0,1,2,2,0,2,2,2,2,0,1,2,2,2,0,1
sample_23,2,1,0,1,1,0,0,0,1,0,0,2,2,2,0,2,1,0,2,1,0,0,2,1,2,2,0,2,1,0,0,2,1,1,0,2,1,2,2,1,1,1,0,1,0,0,2,0,0,2
