,feature_1,feature_2
0,mapped_feature_0,mapped_feature_12
2,mapped_feature_0,mapped_feature_17
3,mapped_feature_0,mapped_feature_10
4,mapped_feature_0,mapped_feature_2
5,mapped_feature_0,mapped_feature_1
6,mapped_feature_0,mapped_feature_18
9,mapped_feature_0,mapped_feature_6
10,mapped_feature_1,mapped_feature_3
11,mapped_feature_1,mapped_feature_12
12,mapped_feature_1,mapped_feature_14
15,mapped_feature_1,mapped_feature_16
16,mapped_feature_1,mapped_feature_6
18,mapped_feature_1,mapped_feature_4
19,mapped_feature_2,mapped_feature_4
22,mapped_feature_2,mapped_feature_12
23,mapped_feature_2,mapped_feature_9
24,mapped_feature_2,mapped_feature_5
25,mapped_feature_2,mapped_feature_10
26,mapped_feature_2,mapped_feature_1
27,mapped_feature_2,mapped_feature_19
28,mapped_feature_2,mapped_feature_17
29,mapped_feature_2,mapped_feature_11
30,mapped_feature_2,mapped_feature_7
31,mapped_feature_2,mapped_feature_6
32,mapped_feature_2,mapped_feature_14
33,mapped_feature_2,mapped_feature_18
35,mapped_feature_2,mapped_feature_15
36,mapped_feature_2,mapped_feature_16
38,mapped_feature_3,mapped_feature_10
39,mapped_feature_3,mapped_feature_16
40,mapped_feature_3,mapped_feature_4
41,mapped_feature_3,mapped_feature_18
42,mapped_feature_4,mapped_feature_9
43,mapped_feature_4,mapped_feature_10
44,mapped_feature_4,mapped_feature_5
45,mapped_feature_5,mapped_feature_4
46,mapped_feature_5,mapped_feature_11
47,mapped_feature_5,mapped_feature_13
51,mapped_feature_6,mapped_feature_12
53,mapped_feature_6,mapped_feature_8
55,mapped_feature_6,mapped_feature_14
56,mapped_feature_6,mapped_feature_0
60,mapped_feature_6,mapped_feature_10
61,mapped_feature_6,mapped_feature_11
62,mapped_feature_6,mapped_feature_3
64,mapped_feature_6,mapped_feature_18
65,mapped_feature_6,mapped_feature_5
66,mapped_feature_6,mapped_feature_17
67,mapped_feature_6,mapped_feature_4
