,chr,location
unmapped_feature_0,1,2
unmapped_feature_1,1,11
unmapped_feature_2,1,20
unmapped_feature_3,1,22
unmapped_feature_4,1,27
unmapped_feature_5,1,33
unmapped_feature_6,1,39
unmapped_feature_7,1,44
unmapped_feature_8,1,49
unmapped_feature_9,1,58
unmapped_feature_10,1,65
unmapped_feature_11,1,69
unmapped_feature_12,1,75
unmapped_feature_13,1,78
unmapped_feature_14,1,82
unmapped_feature_15,1,89
unmapped_feature_16,1,91
unmapped_feature_17,1,98
unmapped_feature_18,2,6
unmapped_feature_19,2,13
unmapped_feature_20,2,20
unmapped_feature_21,2,27
unmapped_feature_22,2,35
unmapped_feature_23,2,44
unmapped_feature_24,2,46
unmapped_feature_25,2,54
unmapped_feature_26,2,59
unmapped_feature_27,2,66
unmapped_feature_28,2,67
unmapped_feature_29,2,70
